-187.617 36.9296 346.747
-204.871 -15 298.502
-204.993 -15 231.91
-207.068 -15 196.203
-200.537 -15 139.5
-192.785 -15 109.714
-169.652 -15 48.7381
-146.031 -15 -12.4821
-124.912 -15 -70.2231
-123.142 -15 -128.269
-101.864 -15 -146.959
-171.85 -15 304.544
-177.648 -14.3559 248.329
-168.676 -27.4178 192.236
-171.972 -50.6348 146.031
-162.267 -80.2225 82.6746
-181.372 -91.1939 31.8308
-184.79 -77.3919 -14.3742
-192.846 -75.4921 -57.4664
-191.321 -104.065 -115.757
-201.025 -110.802 -174.596
-211.585 -120 -235.694
-225.623 -120 -295.633
-238.081 -120 -355.443
-247.45 -15 227.741
-242.714 -15 280.496
-235.694 -15 312.357
-210.059 -15 342.509
-238.624 -15 196.997
-229.225 -15 152.806
-223.731 -15 96.1638
-210.852 -15 46.5407
-207.129 -47.0641 -9.85748
-247.45 -120 227.741
-238.624 -120 196.997
-229.225 -120 152.806
-223.731 -120 96.1638
-210.852 -120 46.5407
-198.889 -131.669 -15.7781
-214.576 -120 -78.341
-215.064 -120 -117.222
-236.976 -68.4042 212.561
-74.1156 -20 191.096
-131.077 -35.2 181.494
-107.803 -18.5 135.67
-170.812 -15 155.492
-74.327 -10 91.419
-118.503 -42.2269 59.1754
-88.0683 -16 -67.8587
-262.721 -115 -123.816
-275.736 -125 -161.977
-209.021 -120 -156.59
-251.231 -122 -225.205
-263.919 -121 161.113
-233.894 -8 87.3259
-240.857 -111 17.8932
-143.636 -120 -19.1732
